cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_celular
1;2003;2003m01;Rio de Janeiro;3304557;Capital;32
2;2003;2003m01;Rio de Janeiro;3304557;Capital;14
3;2003;2003m01;Rio de Janeiro;3304557;Capital;34
4;2003;2003m01;Rio de Janeiro;3304557;Capital;20
5;2003;2003m01;Rio de Janeiro;3304557;Capital;1
6;2003;2003m01;Rio de Janeiro;3304557;Capital;16
7;2003;2003m01;Rio de Janeiro;3304557;Capital;17
8;2003;2003m01;Rio de Janeiro;3304557;Capital;22
9;2003;2003m01;Rio de Janeiro;3304557;Capital;10
10;2003;2003m01;Rio de Janeiro;3304557;Capital;11
11;2003;2003m01;Rio de Janeiro;3304557;Capital;6
12;2003;2003m01;Rio de Janeiro;3304557;Capital;17
13;2003;2003m01;Rio de Janeiro;3304557;Capital;27
14;2003;2003m01;Rio de Janeiro;3304557;Capital;27
15;2003;2003m01;Rio de Janeiro;3304557;Capital;23
16;2003;2003m01;Rio de Janeiro;3304557;Capital;21
17;2003;2003m01;Rio de Janeiro;3304557;Capital;31
18;2003;2003m01;Rio de Janeiro;3304557;Capital;17
19;2003;2003m01;Rio de Janeiro;3304557;Capital;41
20;2003;2003m01;Rio de Janeiro;3304557;Capital;19
21;2003;2003m01;Rio de Janeiro;3304557;Capital;16
22;2003;2003m01;Rio de Janeiro;3304557;Capital;0
23;2003;2003m01;Rio de Janeiro;3304557;Capital;23
24;2003;2003m01;Rio de Janeiro;3304557;Capital;18
25;2003;2003m01;Rio de Janeiro;3304557;Capital;29
26;2003;2003m01;Rio de Janeiro;3304557;Capital;22
27;2003;2003m01;Rio de Janeiro;3304557;Capital;1
28;2003;2003m01;Rio de Janeiro;3304557;Capital;20
29;2003;2003m01;Rio de Janeiro;3304557;Capital;17
30;2003;2003m01;Rio de Janeiro;3304557;Capital;23
31;2003;2003m01;Rio de Janeiro;3304557;Capital;25
32;2003;2003m01;Rio de Janeiro;3304557;Capital;10
33;2003;2003m01;Rio de Janeiro;3304557;Capital;19
34;2003;2003m01;Rio de Janeiro;3304557;Capital;8
35;2003;2003m01;Rio de Janeiro;3304557;Capital;33
36;2003;2003m01;Rio de Janeiro;3304557;Capital;14
37;2003;2003m01;Rio de Janeiro;3304557;Capital;8
38;2003;2003m01;Rio de Janeiro;3304557;Capital;12
39;2003;2003m01;Seropï¿½ï¿;3305554;Baixada Fluminense;1
40;2003;2003m01;Itaguaï;3302007;Baixada Fluminense;6
41;2003;2003m01;Paracambi;3303609;Baixada Fluminense;0
42;2003;2003m01;Nova Iguaï¿;3303500;Baixada Fluminense;16
43;2003;2003m01;Mesquita;3302858;Baixada Fluminense;6
44;2003;2003m01;Belford Roxo;3300456;Baixada Fluminense;8
45;2003;2003m01;"Queimados;Japeri";9999981;Baixada Fluminense;2
46;2003;2003m01;Nova Iguaï¿;3303500;Baixada Fluminense;3
47;2003;2003m01;Nilï¿½ï¿½;3303203;Baixada Fluminense;8
48;2003;2003m01;Nova Iguaï¿;3303500;Baixada Fluminense;2
49;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;36
50;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;5
51;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;1
52;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;3
53;2003;2003m01;Sï¿½ï¿½ï¿½o Joï¿½ï;3305109;Baixada Fluminense;20
54;2003;2003m01;"Magï¿½ï¿½ï¿½;Gu";9999982;Baixada Fluminense;2
55;2003;2003m01;Magï;3302502;Baixada Fluminense;3
56;2003;2003m01;"Itaboraï¿½ï¿½ï¿";9999983;Interior;2
57;2003;2003m01;Sï¿½ï¿½ï¿½o;3304904;Grande Niterï¿;6
58;2003;2003m01;Sï¿½ï¿½ï¿½o;3304904;Grande Niterï¿;3
59;2003;2003m01;Sï¿½ï¿½ï¿½o;3304904;Grande Niterï¿;8
60;2003;2003m01;Sï¿½ï¿½ï¿½o;3304904;Grande Niterï¿;2
61;2003;2003m01;Niterï¿;3303302;Grande Niterï¿;23
62;2003;2003m01;Niterï¿;3303302;Grande Niterï¿;13
63;2003;2003m01;Niterï¿;3303302;Grande Niterï¿;12
64;2003;2003m01;Niterï¿;3303302;Grande Niterï¿;0
65;2003;2003m01;Niterï¿;3303302;Grande Niterï¿;3
66;2003;2003m01;Maricï;3302700;Grande Niterï¿;1
67;2003;2003m01;Barra do Pirai;3300308;Interior;0
68;2003;2003m01;Resende;3304201;Interior;1
69;2003;2003m01;Barra Mansa;3300407;Interior;1
70;2003;2003m01;Valenï¿;3306107;Interior;0
71;2003;2003m01;Rio das Flores;3304508;Interior;0
72;2003;2003m01;Volta Redonda;3306305;Interior;5
73;2003;2003m01;"Piraï¿½ï¿½ï¿½;P";9999988;Interior;0
74;2003;2003m01;Vassouras;3306206;Interior;0
75;2003;2003m01;"Miguel Pereira;Paty dos Alferes";9999999;Interior;0
76;2003;2003m01;Mendes;3302809;Interior;0
77;2003;2003m01;Engenheiro Paulo de Frontin;3301801;Interior;0
78;2003;2003m01;Itatiaia;3302254;Interior;0
79;2003;2003m01;"Porto Real;Quatis";9999992;Interior;0
80;2003;2003m01;Sï¿½ï¿½ï¿½o Josï¿½ï¿½ï¿½ do V;3305158;Interior;0
81;2003;2003m01;Petrï¿½ï¿½;3303906;Interior;1
82;2003;2003m01;Petrï¿½ï¿½;3303906;Interior;1
83;2003;2003m01;Paraï¿½ï¿½ï¿½b;3303708;Interior;0
84;2003;2003m01;"Comendador Levy Gasparian;Areal;Trï¿½ï¿½ï";9999991;Interior;0
85;2003;2003m01;Sapucaia;3305406;Interior;0
86;2003;2003m01;Teresï¿½ï¿½;3305802;Interior;1
87;2003;2003m01;Sumidouro;3305703;Interior;0
88;2003;2003m01;Carmo;3301207;Interior;0
89;2003;2003m01;Araruama;3300209;Interior;1
90;2003;2003m01;Rio Bonito;3304300;Interior;0
91;2003;2003m01;Silva Jardim;3305604;Interior;0
92;2003;2003m01;Casimiro de Abreu;3301306;Interior;1
93;2003;2003m01;Conceiï¿½ï¿½ï¿½ï¿½ï;3301405;Interior;0
94;2003;2003m01;"Macaï¿½ï¿½ï¿½;Quissamï¿½";9999984;Interior;5
95;2003;2003m01;Saquarema;3305505;Interior;1
96;2003;2003m01;Sï¿½ï¿½ï¿½o Pedro d;3305208;Interior;1
97;2003;2003m01;"Cabo Frio;Arraial do Cabo";9999985;Interior;24
98;2003;2003m01;Armaï¿½ï¿½ï¿½ï¿½ï¿;3300233;Interior;3
99;2003;2003m01;Rio das Ostras;3304524;Interior;3
100;2003;2003m01;Iguaba Grande;3301876;Interior;1
101;2003;2003m01;Campos dos Goytacazes;3301009;Interior;12
102;2003;2003m01;Itaocara;3302106;Interior;0
103;2003;2003m01;"Santo Antï¿½ï¿½ï¿½nio de Pï¿½ï";9999993;Interior;0
104;2003;2003m01;Miracema;3303005;Interior;0
105;2003;2003m01;Laje do Muriaï;3302304;Interior;0
106;2003;2003m01;Porciï¿½ï¿½;3304102;Interior;0
107;2003;2003m01;"Natividade;Varre-Sai";9999997;Interior;0
108;2003;2003m01;Sï¿½ï¿½ï¿½o;3304805;Interior;0
109;2003;2003m01;Cambuci;3300902;Interior;0
110;2003;2003m01;"Itaperuna;Sï¿½ï¿½ï¿½o Josï¿½ï¿½ï¿½ de Ubï¿½ï¿½ï¿";9999986;Interior;0
111;2003;2003m01;Bom Jesus de Itabapoana;3300605;Interior;0
112;2003;2003m01;Sï¿½ï¿½ï¿½o Joï¿½;3305000;Interior;0
113;2003;2003m01;"Campos dos Goytacazes;Sï¿½ï¿½ï¿½o Francisco de It";9999987;Interior;1
114;2003;2003m01;Nova Friburgo;3303401;Interior;1
115;2003;2003m01;Duas Barras;3301603;Interior;0
116;2003;2003m01;Cantagalo;3301108;Interior;0
117;2003;2003m01;"Cordeiro;Macuco";9999998;Interior;0
118;2003;2003m01;Sï¿½ï¿½ï¿½o Sebastiï¿;3305307;Interior;0
119;2003;2003m01;Santa Maria Madalena;3304607;Interior;0
120;2003;2003m01;Trajano de Morais;3305901;Interior;0
121;2003;2003m01;Bom Jardim;3300506;Interior;0
122;2003;2003m01;Cachoeiras de Macacu;3300803;Interior;0
123;2003;2003m01;Mangaratiba;3302601;Interior;0
124;2003;2003m01;Angra dos Reis;3300100;Interior;2
125;2003;2003m01;Paraty;3303807;Interior;1
126;2003;2003m01;Rio Claro;3304409;Interior;0
127;2003;2003m02;Rio de Janeiro;3304557;Capital;33
128;2003;2003m02;Rio de Janeiro;3304557;Capital;26
129;2003;2003m02;Rio de Janeiro;3304557;Capital;27
130;2003;2003m02;Rio de Janeiro;3304557;Capital;24
131;2003;2003m02;Rio de Janeiro;3304557;Capital;1
132;2003;2003m02;Rio de Janeiro;3304557;Capital;15
133;2003;2003m02;Rio de Janeiro;3304557;Capital;20
134;2003;2003m02;Rio de Janeiro;3304557;Capital;13
135;2003;2003m02;Rio de Janeiro;3304557;Capital;13
136;2003;2003m02;Rio de Janeiro;3304557;Capital;20
137;2003;2003m02;Rio de Janeiro;3304557;Capital;1
138;2003;2003m02;Rio de Janeiro;3304557;Capital;19
139;2003;2003m02;Rio de Janeiro;3304557;Capital;18
140;2003;2003m02;Rio de Janeiro;3304557;Capital;37
141;2003;2003m02;Rio de Janeiro;3304557;Capital;25
142;2003;2003m02;Rio de Janeiro;3304557;Capital;22
143;2003;2003m02;Rio de Janeiro;3304557;Capital;26
144;2003;2003m02;Rio de Janeiro;3304557;Capital;20
145;2003;2003m02;Rio de Janeiro;3304557;Capital;23
146;2003;2003m02;Rio de Janeiro;3304557;Capital;11
147;2003;2003m02;Rio de Janeiro;3304557;Capital;9
148;2003;2003m02;Rio de Janeiro;3304557;Capital;0
149;2003;2003m02;Rio de Janeiro;3304557;Capital;28
150;2003;2003m02;Rio de Janeiro;3304557;Capital;10
151;2003;2003m02;Rio de Janeiro;3304557;Capital;37
152;2003;2003m02;Rio de Janeiro;3304557;Capital;19
153;2003;2003m02;Rio de Janeiro;3304557;Capital;2
154;2003;2003m02;Rio de Janeiro;3304557;Capital;21
155;2003;2003m02;Rio de Janeiro;3304557;Capital;7
156;2003;2003m02;Rio de Janeiro;3304557;Capital;23
157;2003;2003m02;Rio de Janeiro;3304557;Capital;17
158;2003;2003m02;Rio de Janeiro;3304557;Capital;9
159;2003;2003m02;Rio de Janeiro;3304557;Capital;20
160;2003;2003m02;Rio de Janeiro;3304557;Capital;15
161;2003;2003m02;Rio de Janeiro;3304557;Capital;38
162;2003;2003m02;Rio de Janeiro;3304557;Capital;14
163;2003;2003m02;Rio de Janeiro;3304557;Capital;15
164;2003;2003m02;Rio de Janeiro;3304557;Capital;12
165;2003;2003m02;Seropï¿½ï¿;3305554;Baixada Fluminense;3
166;2003;2003m02;Itaguaï;3302007;Baixada Fluminense;3
167;2003;2003m02;Paracambi;3303609;Baixada Fluminense;2
168;2003;2003m02;Nova Iguaï¿;3303500;Baixada Fluminense;17
169;2003;2003m02;Mesquita;3302858;Baixada Fluminense;9
170;2003;2003m02;Belford Roxo;3300456;Baixada Fluminense;5
